192.168.0.2: 8.0, 8.0, 8.0, 8.0, 1.0, 6.463598326359836, 6.463598326359836, 2.573975255644327, 2.571047127879368, 0.0, 1.0, 1.0, 1.0, 19.0, 0.0, 1.0, 1.0, 1.0, 19.0, 1.0, 0.9933482819457319, 3.0, 3.0, 1.0, 3.0, 3.0, 19.0, 19.0, 1.0, 19.0, 19.0, Hewlett Packard, IEC104, OPCDA
192.168.0.1: 8.0, 8.0, 8.0, 8.0, 1.0, 6.576001340707224, 6.576001340707224, 2.5683836554156123, 2.5751619040453284, 0.0, 1.0, 1.0, 1.0, 16.0, 0.0, 1.0, 1.0, 1.0, 16.0, 1.0, 0.9930849252350556, 3.0, 3.0, 1.0, 3.0, 3.0, 19.0, 19.0, 1.0, 19.0, 19.0, Dell Inc, IEC104, MODBUS
192.168.0.4: 8.0, 8.0, 8.0, 8.0, 1.0, 6.575853985264564, 6.576021433355657, 2.5738022270527625, 2.5739274218618036, 0.0, 1.0, 1.0, 1.0, 16.0, 0.0, 1.0, 1.0, 1.0, 16.0, 0.9999745365654917, 0.9926813693184527, 3.0, 3.0, 1.0, 3.0, 3.0, 19.0, 19.0, 1.0, 19.0, 19.0, Dell Inc, IEC104, MODBUS
192.168.0.3: 8.0, 8.0, 8.0, 8.0, 1.0, 6.533869885982568, 6.5340375586854496, 2.564877069018461, 2.5650056129235437, 0.0, 1.0, 1.0, 1.0, 16.0, 0.0, 1.0, 1.0, 1.0, 16.0, 0.999974338576818, 0.990938089709808, 3.0, 3.0, 1.0, 3.0, 3.0, 19.0, 19.0, 1.0, 19.0, 19.0, Hewlett Packard, IEC104, MODBUS
192.168.0.14: 7.0, 7.0, 7.0, 7.0, 1.0, 2.101290574892453, 2.101290574892453, 1.078888269808238, 1.0846736891667337, 0.0, 1.0, 1.0, 1.0, 7.0, 0.0, 1.0, 1.0, 1.0, 7.0, 1.0, 0.9901537622226447, 3.0, 3.0, 1.0, 3.0, 3.0, 7.0, 7.0, 1.0, 7.0, 7.0, unkonw, FTP, UDP
192.168.0.15: 7.0, 7.0, 7.0, 7.0, 1.0, 2.0918665886483327, 2.0918665886483327, 1.0852944276477552, 1.0860131977889755, 0.0, 1.0, 1.0, 1.0, 7.0, 0.0, 1.0, 1.0, 1.0, 7.0, 1.0, 0.9920554742188139, 3.0, 3.0, 1.0, 3.0, 3.0, 7.0, 7.0, 1.0, 7.0, 7.0, unkonw, FTP, TCP
192.168.0.9: 13.0, 13.0, 13.0, 13.0, 1.0, 9.01335336337839, 9.01335336337839, 3.029265483706106, 3.0332858960815914, 0.0, 1.0, 1.0, 1.0, 21.0, 0.0, 1.0, 1.0, 1.0, 20.0, 1.0, 0.9830313668320955, 10.0, 10.0, 1.0, 10.0, 10.0, 53.0, 53.0, 1.0, 53.0, 53.0, Dell Inc, IEC104, TCP
192.168.0.16: 7.0, 7.0, 7.0, 7.0, 1.0, 2.083789062499999, 2.083789062499999, 1.0658211391054615, 1.0674694432833698, 0.0, 0.8025000000000002, 1.0, 1.0, 7.0, 0.0, 1.0, 1.0, 1.0, 7.0, 1.0, 0.9833461101682061, 3.0, 3.0, 1.0, 3.0, 3.0, 7.0, 7.0, 1.0, 7.0, 7.0, unkonw, FTP, UDP
192.168.0.17: 7.0, 7.0, 7.0, 7.0, 1.0, 2.1194931773879144, 2.1194931773879144, 1.0768619410754046, 1.076861941075405, 0.0, 1.0, 1.0, 1.0, 6.0, 0.0, 0.8275000000000006, 1.0, 1.0, 6.0, 1.0, 0.9885671065193081, 3.0, 3.0, 1.0, 3.0, 3.0, 7.0, 7.0, 1.0, 7.0, 7.0, unkonw, FTP, TCP
192.168.0.18: 7.0, 7.0, 7.0, 7.0, 1.0, 2.111987685203, 2.111987685203, 1.0860603889469544, 1.0860603889469544, 0.0, 1.0, 1.0, 1.0, 8.0, 0.0, 1.0, 1.0, 1.0, 8.0, 1.0, 0.9931471346367614, 3.0, 3.0, 1.0, 3.0, 3.0, 7.0, 7.0, 1.0, 7.0, 7.0, HUAWEI TECHNOLOGIES CO., LTD., FTP, UDP
